"","Gene","Ensembl","Gene.description","Uniprot","Secretome.location"
"109","CHRDL2","ENSG00000054938","Chordin like 2","Q6WN34","Secreted to extracellular matrix"
"110","GALC","ENSG00000054983","Galactosylceramidase","P54803","Intracellular and membrane"
"111","CCDC85A","ENSG00000055813","Coiled-coil domain containing 85A","Q96PX6","Intracellular and membrane"
"112","ITIH4","ENSG00000055955","Inter-alpha-trypsin inhibitor heavy chain 4","Q14624","Secreted to blood"
"113","ITIH1","ENSG00000055957","Inter-alpha-trypsin inhibitor heavy chain 1","P19827","Secreted to blood"
"114","IL17RB","ENSG00000056736","Interleukin 17 receptor B","Q9NRM6","Intracellular and membrane"
"115","F7","ENSG00000057593","Coagulation factor VII","P08709","Secreted to blood"
"116","ATG5","ENSG00000057663","Autophagy related 5","Q9H1Y0","Intracellular and membrane"
"117","LAMC2","ENSG00000058085","Laminin subunit gamma 2","Q13753","Secreted to extracellular matrix"
"118","COL11A1","ENSG00000060718","Collagen type XI alpha 1 chain","P12107","Secreted to extracellular matrix"
"119","WNT8A","ENSG00000061492","Wnt family member 8A","Q9H1J5","Secreted to extracellular matrix"
"120","ARSF","ENSG00000062096","Arylsulfatase F","P54793","Secreted in other tissues"
"121","CA11","ENSG00000063180","Carbonic anhydrase 11","O75493","Secreted in brain"
"122","GPC1","ENSG00000063660","Glypican 1","P35052","Intracellular and membrane"
"123","ADCK1","ENSG00000063761","AarF domain containing kinase 1","Q86TW2","Secreted - unknown location"
"124","CCN5","ENSG00000064205","Cellular communication network factor 5","O76076","Secreted to extracellular matrix"
"125","CTSA","ENSG00000064601","Cathepsin A","P10619","Intracellular and membrane"
"126","DDX20","ENSG00000064703","DEAD-box helicase 20","Q9UHI6","Intracellular and membrane"
"127","CHI3L2","ENSG00000064886","Chitinase 3 like 2","Q15782","Secreted to blood"
"128","NTN1","ENSG00000065320","Netrin 1","O95631","Secreted to extracellular matrix"
"129","ERBB3","ENSG00000065361","Erb-b2 receptor tyrosine kinase 3","P21860","Secreted - unknown location"
"130","KARS1","ENSG00000065427","Lysyl-tRNA synthetase 1","Q15046","Intracellular and membrane"
"131","PDIA5","ENSG00000065485","Protein disulfide isomerase family A member 5","Q14554","Intracellular and membrane"
"132","COL17A1","ENSG00000065618","Collagen type XVII alpha 1 chain","Q9UMD9","Secreted to extracellular matrix"
"133","MTHFD2","ENSG00000065911","Methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase","P13995","Intracellular and membrane"
"134","YBX1","ENSG00000065978","Y-box binding protein 1","P67809","Intracellular and membrane"
"135","TIE1","ENSG00000066056","Tyrosine kinase with immunoglobulin like and EGF like domains 1","P35590","Intracellular and membrane"
"136","NGEF","ENSG00000066248","Neuronal guanine nucleotide exchange factor","Q8N5V2","Intracellular and membrane"
"137","FGFR2","ENSG00000066468","Fibroblast growth factor receptor 2","P21802","Secreted - unknown location"
"138","TNFRSF1A","ENSG00000067182","TNF receptor superfamily member 1A","P19438","Secreted to blood"
"139","DHX29","ENSG00000067248","DExH-box helicase 29","Q7Z478","Intracellular and membrane"
"140","DHX8","ENSG00000067596","DEAH-box helicase 8","Q14562","Intracellular and membrane"
"141","FGFR3","ENSG00000068078","Fibroblast growth factor receptor 3","P22607","Secreted - unknown location"
"142","IFI35","ENSG00000068079","Interferon induced protein 35","P80217","Secreted to blood"
"143","COASY","ENSG00000068120","Coenzyme A synthase","Q13057","Intracellular and membrane"
"144","INPP5A","ENSG00000068383","Inositol polyphosphate-5-phosphatase A","Q14642","Intracellular and membrane"
"145","ERLEC1","ENSG00000068912","Endoplasmic reticulum lectin 1","Q96DZ1","Intracellular and membrane"
"146","ADAM7","ENSG00000069206","ADAM metallopeptidase domain 7","Q9H2U9","Intracellular and membrane"
"147","GAL","ENSG00000069482","Galanin and GMAP prepropeptide","P22466","Secreted to blood"
"148","TGFBR3","ENSG00000069702","Transforming growth factor beta receptor 3","Q03167","Secreted to blood"
"149","PLA2G10","ENSG00000069764","Phospholipase A2 group X","O15496","Secreted in other tissues"
"150","HDHD5","ENSG00000069998","Haloacid dehalogenase like hydrolase domain containing 5","Q9BXW7","Intracellular and membrane"
"151","SCT","ENSG00000070031","Secretin","P09683","Secreted to blood"
"152","NUCB2","ENSG00000070081","Nucleobindin 2","P80303","Secreted to blood"
"153","FGF10","ENSG00000070193","Fibroblast growth factor 10","O15520","Secreted in other tissues"
"154","FGF22","ENSG00000070388","Fibroblast growth factor 22","Q9HCT0","Secreted in other tissues"
"155","FSTL3","ENSG00000070404","Follistatin like 3","O95633","Secreted in other tissues"
"156","ST6GALNAC2","ENSG00000070731","ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 2","Q9UJ37","Intracellular and membrane"
"157","EPHA8","ENSG00000070886","EPH receptor A8","P29322","Intracellular and membrane"
"158","MGAT4A","ENSG00000071073","Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A","Q9UM21","Secreted to blood"
"159","VASH1","ENSG00000071246","Vasohibin 1","Q7L8A9","Secreted to blood"
"160","SEL1L","ENSG00000071537","SEL1L adaptor subunit of ERAD E3 ubiquitin ligase","Q9UBV2","Intracellular and membrane"
"161","PRLH","ENSG00000071677","Prolactin releasing hormone","P81277","Secreted in brain"
"162","FAM3A","ENSG00000071889","FAM3 metabolism regulating signaling molecule A","P98173","Secreted to blood"
"163","RDH11","ENSG00000072042","Retinol dehydrogenase 11","Q8TC12","Intracellular and membrane"
"164","SPP2","ENSG00000072080","Secreted phosphoprotein 2","Q13103","Secreted to blood"
"165","LNX1","ENSG00000072201","Ligand of numb-protein X 1","Q8TBB1","Intracellular and membrane"
"166","TFRC","ENSG00000072274","Transferrin receptor","P02786","Secreted to blood"
"167","P4HA2","ENSG00000072682","Prolyl 4-hydroxylase subunit alpha 2","O15460","Intracellular and membrane"
"168","PVR","ENSG00000073008","PVR cell adhesion molecule","P15151","Secreted - unknown location"
"169","CYP2W1","ENSG00000073067","Cytochrome P450 family 2 subfamily W member 1","Q8TAV3","Intracellular and membrane"
"170","SELENOO","ENSG00000073169","Selenoprotein O","Q9BVL4","Intracellular and membrane"
"171","DHRS9","ENSG00000073737","Dehydrogenase/reductase 9","Q9BPW9","Intracellular and membrane"
"172","CD5L","ENSG00000073754","CD5 molecule like","O43866","Secreted to blood"
"173","PTGS2","ENSG00000073756","Prostaglandin-endoperoxide synthase 2","P35354","Intracellular and membrane"
"174","ST6GAL1","ENSG00000073849","ST6 beta-galactoside alpha-2,6-sialyltransferase 1","P15907","Secreted to blood"
"175","NTN4","ENSG00000074527","Netrin 4","Q9HB63","Secreted to extracellular matrix"
"176","SCARF1","ENSG00000074660","Scavenger receptor class F member 1","Q14162","Intracellular and membrane"
"177","MYDGF","ENSG00000074842","Myeloid derived growth factor","Q969H8","Secreted to blood"
"178","WSCD2","ENSG00000075035","WSC domain containing 2","Q2TBF2","Intracellular and membrane"
"179","SEMA3A","ENSG00000075213","Semaphorin 3A","Q14563","Secreted in other tissues"
"180","SEMA3C","ENSG00000075223","Semaphorin 3C","Q99985","Secreted in other tissues"
"181","CELSR1","ENSG00000075275","Cadherin EGF LAG seven-pass G-type receptor 1","Q9NYQ6","Intracellular and membrane"
"182","WNT8B","ENSG00000075290","Wnt family member 8B","Q93098","Secreted to extracellular matrix"
"183","FGF4","ENSG00000075388","Fibroblast growth factor 4","P08620","Secreted in other tissues"
"184","PAX2","ENSG00000075891","Paired box 2","Q02962","Intracellular and membrane"
"185","ACACB","ENSG00000076555","Acetyl-CoA carboxylase beta","O00763","Intracellular and membrane"
"186","GPC4","ENSG00000076716","Glypican 4","O75487","Intracellular and membrane"
"187","IL4R","ENSG00000077238","Interleukin 4 receptor","P24394","Secreted to blood"
"188","FBLN1","ENSG00000077942","Fibulin 1","P23142","Secreted to extracellular matrix"
"189","CST7","ENSG00000077984","Cystatin F","O76096","Secreted to blood"
"190","MCCC1","ENSG00000078070","Methylcrotonyl-CoA carboxylase subunit 1","Q96RQ3","Intracellular and membrane"
"191","FAP","ENSG00000078098","Fibroblast activation protein alpha","Q12884","Secreted to blood"
"192","TULP3","ENSG00000078246","TUB like protein 3","O75386","Intracellular and membrane"
"193","EDN1","ENSG00000078401","Endothelin 1","P05305","Secreted to blood"
"194","FGF20","ENSG00000078579","Fibroblast growth factor 20","Q9NP95","Secreted in other tissues"
"195","BRINP1","ENSG00000078725","BMP/retinoic acid inducible neural specific 1","O60477","Intracellular and membrane"
"196","SDF4","ENSG00000078808","Stromal cell derived factor 4","","Intracellular and membrane"
"197","BPIFB2","ENSG00000078898","BPI fold containing family B member 2","Q8N4F0","Secreted in other tissues"
"198","CLUL1","ENSG00000079101","Clusterin like 1","Q15846","Secreted in other tissues"
"199","FKBP7","ENSG00000079150","FKBP prolyl isomerase 7","Q9Y680","Intracellular and membrane"
"200","CEACAM1","ENSG00000079385","CEA cell adhesion molecule 1","P13688","Intracellular and membrane"
"201","AFM","ENSG00000079557","Afamin","P43652","Secreted to blood"
"202","SCGN","ENSG00000079689","Secretagogin, EF-hand calcium binding protein","O76038","Intracellular and membrane"
"203","COL5A3","ENSG00000080573","Collagen type V alpha 3 chain","P25940","Secreted to extracellular matrix"
"204","CPB2","ENSG00000080618","Carboxypeptidase B2","Q96IY4","Secreted to blood"
"205","CFHR2","ENSG00000080910","Complement factor H related 2","P36980","Secreted to blood"
"206","CXCL2","ENSG00000081041","C-X-C motif chemokine ligand 2","P19875","Secreted to blood"
"207","AFP","ENSG00000081051","Alpha fetoprotein","P02771","Secreted to blood"
"208","COL4A4","ENSG00000081052","Collagen type IV alpha 4 chain","P53420","Secreted to extracellular matrix"
"209","IMPG2","ENSG00000081148","Interphotoreceptor matrix proteoglycan 2","Q9BZV3","Secreted in other tissues"
"210","PTPRC","ENSG00000081237","Protein tyrosine phosphatase receptor type C","P08575","Intracellular and membrane"
"211","PCDHA6","ENSG00000081842","Protocadherin alpha 6","Q9UN73","Secreted in brain"
"212","PHLPP1","ENSG00000081913","PH domain and leucine rich repeat protein phosphatase 1","O60346","Intracellular and membrane"
"213","IL12RB2","ENSG00000081985","Interleukin 12 receptor subunit beta 2","Q99665","Intracellular and membrane"
"214","C1QTNF3","ENSG00000082196","C1q and TNF related 3","Q9BXJ4","Secreted to blood"
"215","COL19A1","ENSG00000082293","Collagen type XIX alpha 1 chain","Q14993","Secreted to extracellular matrix"
"216","NFE2L1","ENSG00000082641","NFE2 like bZIP transcription factor 1","Q14494","Intracellular and membrane"
"217","BCKDHB","ENSG00000083123","Branched chain keto acid dehydrogenase E1 subunit beta","P21953","Intracellular and membrane"
"218","PLOD1","ENSG00000083444","Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1","Q02809","Intracellular and membrane"
"219","PIBF1","ENSG00000083535","Progesterone immunomodulatory binding factor 1","Q8WXW3","Secreted to blood"
"220","OXCT1","ENSG00000083720","3-oxoacid CoA-transferase 1","P55809","Intracellular and membrane"
"221","EPYC","ENSG00000083782","Epiphycan","Q99645","Secreted to extracellular matrix"
"222","FAT1","ENSG00000083857","FAT atypical cadherin 1","Q14517","Intracellular and membrane"
"223","STARD7","ENSG00000084090","StAR related lipid transfer domain containing 7","Q9NQZ5","Intracellular and membrane"
"224","NOA1","ENSG00000084092","Nitric oxide associated 1","Q8NC60","Intracellular and membrane"
"225","COL16A1","ENSG00000084636","Collagen type XVI alpha 1 chain","Q07092","Secreted to extracellular matrix"
"226","APOB","ENSG00000084674","Apolipoprotein B","P04114","Secreted to blood"
"227","CD59","ENSG00000085063","CD59 molecule (CD59 blood group)","P13987","Intracellular and membrane"
"228","FCN1","ENSG00000085265","Ficolin 1","O00602","Secreted to blood"
"229","OVGP1","ENSG00000085465","Oviductal glycoprotein 1","Q12889","Secreted in female reproductive system"
"230","PILRA","ENSG00000085514","Paired immunoglobin like type 2 receptor alpha","Q9UKJ1","Secreted to blood"
"231","WNT11","ENSG00000085741","Wnt family member 11","O96014","Secreted to extracellular matrix"
"232","EPS15","ENSG00000085832","Epidermal growth factor receptor pathway substrate 15","P42566","Intracellular and membrane"
"233","B4GALT1","ENSG00000086062","Beta-1,4-galactosyltransferase 1","P15291","Intracellular and membrane"
"234","EPDR1","ENSG00000086289","Ependymin related 1","Q9UM22","Secreted in other tissues"
"235","ERO1B","ENSG00000086619","Endoplasmic reticulum oxidoreductase 1 beta","Q86YB8","Intracellular and membrane"
"236","LAT2","ENSG00000086730","Linker for activation of T cells family member 2","Q9GZY6","Intracellular and membrane"
"237","ACHE","ENSG00000087085","Acetylcholinesterase (Cartwright blood group)","P22303","Intracellular and membrane"
"238","ADAMTS2","ENSG00000087116","ADAM metallopeptidase with thrombospondin type 1 motif 2","O95450","Secreted to extracellular matrix"
"239","TMPRSS11E","ENSG00000087128","Transmembrane serine protease 11E","Q9UL52","Secreted in other tissues"
"240","CETP","ENSG00000087237","Cholesteryl ester transfer protein","P11597","Secreted to blood"
"241","MMP2","ENSG00000087245","Matrix metallopeptidase 2","P08253","Secreted to extracellular matrix"
"242","TXNDC16","ENSG00000087301","Thioredoxin domain containing 16","Q9P2K2","Secreted to blood"
"243","NID2","ENSG00000087303","Nidogen 2","Q14112","Secreted to extracellular matrix"
"244","GNAS","ENSG00000087460","GNAS complex locus","O95467, P63092, Q5JWF2","Intracellular and membrane"
"245","PTHLH","ENSG00000087494","Parathyroid hormone like hormone","P12272","Secreted in other tissues"
"246","GP6","ENSG00000088053","Glycoprotein VI platelet","Q9HCN6","Intracellular and membrane"
"247","EDEM2","ENSG00000088298","ER degradation enhancing alpha-mannosidase like protein 2","Q9BV94","Intracellular and membrane"
"248","DEFB127","ENSG00000088782","Defensin beta 127","Q9H1M4","Secreted in male reproductive system"
"249","ATRN","ENSG00000088812","Attractin","O75882","Secreted to blood"
"250","SIGLEC1","ENSG00000088827","Sialic acid binding Ig like lectin 1","Q9BZZ2","Intracellular and membrane"
"251","CPXM1","ENSG00000088882","Carboxypeptidase X, M14 family member 1","Q96SM3","Secreted in other tissues"
"252","F11","ENSG00000088926","Coagulation factor XI","P03951","Secreted to blood"
"253","OAS1","ENSG00000089127","2'-5'-oligoadenylate synthetase 1","P00973","Intracellular and membrane"
"254","CHGB","ENSG00000089199","Chromogranin B","P05060","Intracellular and membrane"
"255","ERP29","ENSG00000089248","Endoplasmic reticulum protein 29","P30040","Intracellular and membrane"
"256","FXYD3","ENSG00000089356","FXYD domain containing ion transport regulator 3","Q14802","Intracellular and membrane"
"257","GANAB","ENSG00000089597","Glucosidase II alpha subunit","Q14697","Intracellular and membrane"
"258","LAG3","ENSG00000089692","Lymphocyte activating 3","P18627","Intracellular and membrane"
"259","RCOR1","ENSG00000089902","REST corepressor 1","Q9UKL0","Intracellular and membrane"
"260","LTBP4","ENSG00000090006","Latent transforming growth factor beta binding protein 4","Q8N2S1","Secreted to extracellular matrix"
"261","IRAK3","ENSG00000090376","Interleukin 1 receptor associated kinase 3","Q9Y616","Intracellular and membrane"
"262","LYZ","ENSG00000090382","Lysozyme","P61626","Secreted to blood"
"263","FETUB","ENSG00000090512","Fetuin B","Q9UGM5","Secreted to blood"
"264","DNAJB11","ENSG00000090520","DnaJ heat shock protein family (Hsp40) member B11","Q9UBS4","Intracellular and membrane"
"265","P3H2","ENSG00000090530","Prolyl 3-hydroxylase 2","Q8IVL5","Intracellular and membrane"
"266","THPO","ENSG00000090534","Thrombopoietin","P40225","Secreted to blood"
"267","CHRD","ENSG00000090539","Chordin","Q9H2X0","Secreted in other tissues"
"268","FLT3LG","ENSG00000090554","Fms related receptor tyrosine kinase 3 ligand","P49771","Secreted to blood"
"269","GNPTG","ENSG00000090581","N-acetylglucosamine-1-phosphate transferase subunit gamma","Q9UJJ9","Intracellular and membrane"
"270","CD209","ENSG00000090659","CD209 molecule","Q9NNX6","Intracellular and membrane"
"271","LAMB4","ENSG00000091128","Laminin subunit beta 4","A4D0S4","Secreted to extracellular matrix"
"272","NRCAM","ENSG00000091129","Neuronal cell adhesion molecule","Q92823","Secreted in brain"
"273","LAMB1","ENSG00000091136","Laminin subunit beta 1","P07942","Secreted to extracellular matrix"
"274","IL5RA","ENSG00000091181","Interleukin 5 receptor subunit alpha","Q01344","Intracellular and membrane"
"275","TF","ENSG00000091513","Transferrin","P02787","Secreted to blood"
"276","APOH","ENSG00000091583","Apolipoprotein H","P02749","Secreted to blood"
"277","CPA1","ENSG00000091704","Carboxypeptidase A1","P15085","Secreted to digestive system"
"278","ANGPT2","ENSG00000091879","Angiopoietin 2","O15123","Secreted to blood"
"279","CCDC80","ENSG00000091986","Coiled-coil domain containing 80","Q76M96","Secreted to extracellular matrix"
"280","CMA1","ENSG00000092009","Chymase 1","P23946","Secreted to blood"
"281","TINF2","ENSG00000092330","TERF1 interacting nuclear factor 2","Q9BSI4","Intracellular and membrane"
"282","COL9A3","ENSG00000092758","Collagen type IX alpha 3 chain","Q14050","Secreted to extracellular matrix"
"283","TGFB2","ENSG00000092969","Transforming growth factor beta 2","P61812","Secreted to blood"
"284","ADA2","ENSG00000093072","Adenosine deaminase 2","Q9NZK5","Secreted to blood"
"285","CDC23","ENSG00000094880","Cell division cycle 23","Q9UJX2","Intracellular and membrane"
"286","NXPE1","ENSG00000095110","Neurexophilin and PC-esterase domain family member 1","Q8N323","Intracellular and membrane"
"287","PTGS1","ENSG00000095303","Prostaglandin-endoperoxide synthase 1","P23219","Intracellular and membrane"
"288","SEMA4G","ENSG00000095539","Semaphorin 4G","Q9NTN9","Intracellular and membrane"
"289","TLL2","ENSG00000095587","Tolloid like 2","Q9Y6L7","Secreted - unknown location"
